;02/11;03/11;04/11;05/11;06/11;07/11;08/11;09/11;10/11;11/11;12/11;13/11;14/11;15/11;16/11;17/11;18/11;19/11;20/11;21/11;22/11;23/11;24/11;25/11
1;• День провозглашения Российской Империи;• Международный день калькулятора;• День заботы о себе;• День военного разведчика;• Праздник иконы Божией Матери «Всех скорбящих Радость»;• День холодца;• День исполнения желаний;• Всемирный день курицы (World Chicken Day);• День сотрудника органов внутренних дел РФ (День полиции);• Праздник заквашенных;• День творческих осуществлений;• Всемирный день доброты (World Kindness Day);• День расслабленности и беззаботности (Loosen Up, Lighten Up Day);• День шоколадного кекса (Chocolate Cupcake Day);• Праздник суточного застолья;• День защиты чёрных котов и кошек;• День рождения Деда Мороза;• День ракетных войск и артиллерии СССР;• Прекрасный день (Beautiful Day);• День бухгалтера в России;• День сыновей;• День вставания с той ноги;• День угощения домовых молоком;• День смотрения по сторонам
2;• Праздник мутных глаз;• День хранения тайны;• Всемирный день мужчин (Men`s World Day);• День рассматривания старых фотографий;• Международный день памяти животных, погибших от рук человека;• День вытрезвителя;• День Сибири;• Международный день против фашизма и антисемитизма (International Day Against Fascism and Antisemitism);• Международный день бухгалтерии (International Accounting Day);• День военного пенсионера;• День видимого дыхания на холоде;• День рождения сосиски;• День общения с духом вечера;• День молочных коктейлей;• День отказа от курения (No Smoking Day);• Международный день студентов (International Students Day);• День рождения Микки Мауса (Mickey Mouse Birthday);• Международный мужской день (International Men`s Day);• Всемирный день ребёнка (Universal Children`s Day);• Всемирный день приветствия (World Hello Day);• День психолога;• День памяти святого Георгия Победоносца;• День моржа (Walrus Day);• День российского военного миротворца
3;• День международного признания Санкт-Петербурга;• Всемирный день косплея (World Cosplay Day);• День народного единства России;• День рождения Останкинской телебашни;• День поиска центра города;• День Великой Октябрьской Социалистической Революции;• День первых признаков зимы;• День вечно живого хаоса (Chaos Never Dies Day);• Всемирный день молодёжи (World Youth Day);• День окончания Первой мировой войны;• Экологический праздник «Синичкин день»;• День собирания ключей и монеток;• День эндокринолога;• Всероссийский день призывника;• Всемирный день рукоделия (World Needlework Day);• День знакомства с новым чаем;• День придумывания секретов;• День запаха свежего хлеба;• День педиатра (Pediatrician Day);• День светящихся окошек;• День отогревания в кофейнях;• Праздник собак и доброты «Wolfenoot»;• Чёрная пятница (Black Friday);• День расплывных лиц
4;• День кормления птиц овсяным печеньем;• Всемирный день медузы (World Jellyfish Day);• Праздник Казанской иконы Божией Матери;• День несправедливости в интернете (Internet Injustice Day);• День «Раскрасьте мир в оранжевый цвет» (Color the World Orange Day);• День военного парада на Красной площади 1941 года;• Международный день пианиста (International Pianist Day);• Всемирный день усыновления (World Adoption Day);• День богини Макоши - покровительницы девиц и женщин;• День экономиста в России;• День банковского работника Сбербанка России;• День войск радио и радиотехнической разведки ВС РФ (РиРТР);• Праздник разбитых фонарей;• День подразделений по борьбе с организованной преступностью МВД РФ (РУБОП, УБОП, ОБОП);• Международный день борьбы с анорексией (День без диет);• Всемирный день таблицы умножения (World Multiplication Table Day);• День кнопочного телефона (Push Button Phone Day);• День плюшевого мишки в России;• День трамвайных поездок;• Всемирный день телевидения (World Television Day);• День канифольщиков;• Международный день акварели (World Watercolor Day);• День эволюции (Evolution Day);• Международный день борьбы за ликвидацию насилия в отношении женщин (International Day for the Elimination of Violence Against Women)
5;• День «Станьте экстрасенсом» (Practice Being Psychic Day);• День клише (Cliche Day);• День освобождения Москвы от польских интервентов;• День беззадачности (Zero Tasking Day);• День ориентирования без компаса (Marooned Without a Compass Day);• День рисования на запотевшем стекле;• Международный день КВН;• День специального отряда быстрого реагирования МВД РФ (СОБР, ОМСН);• День просмотра чёрно-белого фильма;• День написания бумажных писем;• Международный день скороговорок (International Tongue Twister Day);• Всемирный день сирот (World Orphans Day);• Международный день логопеда (International Speech Pathologist Day);• День Бурана;• Всемирный день философии (World Philosophy Day);• День обмывщиков;• Всемирный день предотвращения сексуальной эксплуатации, жестокого обращения и насилия над детьми (World Day for Prevention and Healing from Child Sexual Exploitation, Abuse, Violence);• День сантехника;• День работника транспорта в России;• Всемирный день рыбного промысла (World Fisheries Day);• День словарей и энциклопедий;• День Фибоначчи (Fibonacci Day);• Всемирный день отказа от покупок (Buy Nothing Day);• День геоморфолога
6;• Международный день борьбы с насилием и издевательствами в школе, включая киберзапугивание (International Day against Violence and Bullying at School including Cyberbullying);• Праздник культа;• День рождения кассового аппарата;• Всемирный день осведомлённости о проблеме цунами (World Tsunami Awareness Day);• Всемирный день без бумаги (World Paper Free Day);• День рождения уральского трамвая;• День ветеранов спорта;• День дарения огня семи греющим свечкам;• День вышивальщицы и покровительницы всех рукодельниц святой великомученицы Параскевы Пятницы;• День винного туризма (Wine Tourism Day);• День молитвы о сиротах (Orphan Sunday);• День войск радиационной, химической и биологической защиты ВС РФ (День войск РХБЗ);• Всемирный день борьбы с диабетом (World Diabetes Day);• День Каспийской флотилии ВМФ РФ;• Всероссийский день самбо;• Международный день недоношенных детей (World Prematurity Day);• Международный день людей, переживших самоубийство близкого человека (International Survivors of Suicide Loss Day);• Всемирный день туалета (World Toilet Day);• День перевоплощений;• День работника налоговых органов РФ;• День любви к своим веснушкам (Love Your Freckles Day);• Международный день борьбы с безнаказанностью (International Day to End Impunity);• Международный день вина «Карменер» (International Carmenere Day);• Международный день осведомлённости об ауре (International Aura Awareness Day)
7;• День печенькового монстра (Cookie Monster Day);• День памяти преподобного Илариона Великого;• День царя Тутанхамона (King Tut Day);• Международный день менеджеров-волонтёров (International Volunteer Managers Day);• День Конституции Республики Татарстан;• Международный день вина «Мерло» (International Merlot Day);• День памяти погибших при выполнении служебных обязанностей сотрудников органов внутренних дел и военнослужащих ВВ МВД РФ;• Всемирный день качества (World Quality Day);• День кухонной мойки;• Всемирный день оригами (World Origami Days);• День матери, потерявшей ребенка;• День Службы защиты государственной тайны ВС РФ;• День социолога;• День петербургского бухгалтера;• День нанизывания бисера;• Международный день борьбы с издевательствами (International STAND UP to Bullying Day);• Всемирная неделя правильного использования антибиотиков (World Antibiotic Awareness Week);• День преподавателя высшей школы;• День операционной системы Microsoft Windows (Recycle Bin Day);• День без музыки (No Music Day);• Праздник иконы Божией Матери «Скоропослушница»;• Международный день имидж-консультанта (International Image Consultant Day);• Международный день системного инженера (International Systems Engineer Day);• День Олонхо в Якутии
8;• День военного журналиста, Международный день прекращения безнаказанности за преступления против журналистов (International Day to End Impunity for Crimes against Journalists);• День независимости (Panamanian Independence Day) - Панама;• День сумчатого муравьеда, День намбата (World Numbat Day);• День памяти святого апостола Иакова, брата Господня;• Международная неделя науки и мира (International Week of Science and Peace);• Международный день скептиков (International Skeptics Day);• Всемирный день без Wi-Fi (World Day Without Wi-Fi);• День рождения неоновой рекламы (Neon Sign Day);• Всемирный день рекордов Гиннесса (Guinness World Records Day);• Международный день фитнеса;• Всемирный день борьбы с пневмонией (World Pneumonia Day);• Международный день слепых (International Day of the Blind);• День памяти святых бессребреников и чудотворцев Космы и Дамиана Асийских;• Всемирный день вторичной переработки (Global Recycling Day);• День капусты в Тверской области;• День участковых уполномоченных полиции РФ;• День памяти Отцов Поместного Собора Церкви Русской 1917-1918 годов;• День кузнеца ручной ковки;• Всероссийский день правовой помощи детям;• Европейский день муковисцидоза (European Cystic Fibrosis Awareness Day);• День памяти преподобной Матроны Константинопольской;• День памяти святых апостолов от 70-ти Ераста, Олимпа, Родиона, Сосипатра, Кварта и Тертия;• День бухгалтера в Татарстане;• День пресыщения (Blase Day)
9;• Международный день проектного менеджера (International Project Management Day);• День сэндвича (National Sandwich Day) - США;• День государственности Удмуртской Республики;• Зороастрийский праздник «Апам-Напата»;• Международный день предотвращения эксплуатации окружающей среды во время войны и вооружённых конфликтов (International Day for Preventing the Exploitation of the Environment in War and Armed Conflict);• День российского пейнтбола;• Всемирный день рентгенографии (World Radiography Day);• Международный день вина «Темпранильо» (International Tempranillo Day);• Всемирный день науки за мир и развитие (World Science Day for Peace and Development);• День офтальмолога в России;• День специалиста по безопасности (Security Specialist Day);• День симфонического металла (Symphonic Metal Day);• День маринованных огурцов (National Pickle Day) - США;• День писателей в заключении (Day of the Imprisoned Writer);• Всероссийский день проектировщика;• Международный день любителей пива «Гозе» (International Happy Gose Day);• День памяти святителя Ионы, архиепископа Новгородского;• День работника стекольной промышленности РФ;• День памяти трансгендеров (Transgender Day of Remembrance);• Собор архистратига Михаила и прочих небесных сил бесплотных;• День памяти святых мучеников Онисифора и Порфирия;• День памяти священномученика Милия Персидского;• Праздник мироточивой Иверской Монреальской иконы Божией Матери;• День домашней кухни
10;• Международный день стаута (International Stout Day);• День «Дайте сегодня кому-нибудь доллар» (Give Someone a Dollar Today Day) - США;• Праздник иконы Божией Матери Андрониковская;• День рыжих (National Redhead Day, National Love Your Red Hair Day) - США;• День работника службы делопроизводства и режима уголовно-исполнительной системы РФ;• Международный день африканских писателей (International African Writer`s Day);• День «Приготовьте что-нибудь необычное и пикантное» (Cook Something Bold and Pungent Day);• Международный день антиядерных акций (International Anti-Nuclear Campaign Day);• День детской телевизионной программы «Улица Сезам» (Sesame Street Day);• Всемирный день шопинга (World Shopping Day);• Европейский день винного туризма (European Day of Wine Tourism);• День работников и специалистов в сфере дистанционного банковского обеспечения;• День девочек (International Girls Day) - США;• Всемирный день борьбы против хронической обструктивной болезни лёгких (World COPD Day);• День московского бухгалтера;• День памяти преподобного Иоанникия Великого;• День памяти мучеников Галактиона и Епистимии;• День брызг;• Глобальный день «Обнимите бегуна» (Globally Organized Hug a Runner Day);• Зороастрийский праздник «Зервана Акарана»;• День памяти преподобной Феоктисты Паросской;• Католический праздник святого Климента (St. Clement`s Day);• День памяти преподобного Феодора Студита;• Праздник иконы Божией Матери «Милостивая»
11;• День динамической безвредности (Dynamic Harmlessness Day);• День «Любите своего адвоката» (National Love Your Lawyer Day) - США;• Праздник иконы Божией Матери Якобштадтская;• День благодарности пончику (National Doughnut Appreciation Day) - США;• День памяти святого мученика Арефы Негранского и с ним пострадавших;• День трудовой славы и профсоюзного работника в Ульяновской области;• Международный день радиологии (International Day of Radiology, X-Ray Day);• Всемирный день юзабилити (World Usability Day);• День киберпсихологии (Cyberpsychology Day);• День аюрведы (Ayurveda Day);• День бухгалтера в Красноярском крае;• День осенней шали;• День кузнеца - Беларусь;• Всемирный день географических информационных систем (GIS Day);• Всемирный день борьбы против рака поджелудочной железы (World Pancreatic Cancer Day);• День памяти священномучеников Никандра, епископа Мирского и Ермея пресвитера;• День поддержки «Замужем за Скорпионом» (Married to a Scorpio Support Day) - США;• День женского предпринимательства (Women`s Entrepreneurship Day);• День приёмной семьи в Ульяновской области;• Католический праздник Введения во храм Пресвятой Богородицы (Feast of the Presentation of the Blessed Virgin Mary);• День хороших супружеских пар - Япония;• День «Скушай клюкву» (Eat A Cranberry Day) - США;• День памяти блаженного Максима Московского, Христа ради юродивого;• День памяти святителя Иоанна Милостивого
12;• Всемирный день «Манкуши» (World Mankousheh Day);• День посадки деревьев (Arbor Day) - Самоа;• День памяти святого равноапостольного Аверкия Иерапольского;• День дров (Firewood Day) - США;• День памяти преподобного Зосимы Верховского;• Международный день инуита (International Inuit Day);• Всемирный день ответственного туризма (World Responsible Tourism Day);• Всемирный день лизинга (Global Leasing Day);• Всемирный день борьбы с нейроэндокринным раком (World NET Cancer Day);• Международный день энергосбережения (International Day of Energy Saving);• День профсоюзного работника в Республике Башкортостан;• День памяти преподобных Спиридона и Никодима, просфорников Печерских;• День семейной пижамы (National Family P-J Day) - США;• Всемирный день гипнородов (World HypnoBirthing Day);• Международный день, посвящённый терпимости (International Day for Tolerance);• День памяти преподобного Никандра Городноезерского;• День яблочного сидра (National Apple Cider Day) - США;• Международный день цельных злаков (International Whole Grain Day);• День индустриализации Африки (Africa Industrialization Day);• День имбирного пряника (Gingerbread Cookie Day) - США;• Дурацкая среда (Wacky Wednesday, Drinksgiving) - США;• День орехов кешью (National Cashew Day) - США;• День памяти святых мучеников Виктора и Стефаниды;• День памяти преподобного Нила Мироточивого
13;• День памяти святого праведного отрока Артемия Веркольского;• Женский день - Восточный Тимор;• Буддийский праздник нисхождения Будды «Лхабаб Дуйсэн» (Lhabab Duchen);• День работников гражданской авиации - Беларусь;• День освобождения Киева - Украина;• Праздник иконы Божией Матери Валкурийская;• Международный день патологии (International Pathology Day);• День хранительницы домашнего очага;• Всемирный день борьбы с кератоконусом (World Keratoconus Day);• Всемирный день мини-лыж;• Праздник Озерянской иконы Божией Матери;• День памяти святого мученика Епимаха Александрийского;• День ремня безопасности (National Seat Belt Day) - США;• День восьми миллиардов (Day of 8 Billion);• День ветеранов боевых действий в республике Ангола;• Католический праздник святой Елизаветы Венгерской (Feast of Saint Elizabeth of Hungary);• День принцесс (National Princess Day) - США;• Всемирный день памяти жертв дорожно-транспортных происшествий (World Day of Remembrance for Road Traffic Victims);• Праздник иконы Божией Матери «Взыграние Младенца»;• День достоинства и свободы - Украина;• День музыки (Dia de la Musica) - Испания;• День сериала «Доктор Кто» (Doctor Who Day) - Великобритания;• День памяти великомученика Мины Котуанского;• День памяти преподобного Нила Постника Синайского
